# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.63
2                         5.19
4                        10.25
8                        20.14
16                       40.55
32                       79.85
64                      157.48
128                     280.56
256                     548.53
512                    1055.36
1024                   1847.55
2048                   2983.59
4096                   2400.37
8192                   5176.61
16384                  4994.37
32768                  5796.44
65536                  6044.07
131072                 6112.16
262144                 6190.97
524288                 6212.63
1048576                6237.96
2097152                6253.72
4194304                6258.55
